xb	111011011001110	
xc	000001001011100	
xd	01101110100010	
xe	110011001000	
xf	010101011110110	
xg	011100001110001	
xh	1110000001001	
xi	1010111101000	
xj	0011100000110000101	
xk	1101011101100110	
xl	01110000111100	
xm	001110111110110	
xn	1011100010110	
xo	1001100000100	
xp	100010010100101	
xq	1111111110101000101	
xr	1110110110001	
xs	1101011100100	
xt	0100110110110	
xu	000001001011110	
xv	1000100101000110	
xw	010000001001100	
xx	0111110010011101000	
xy	100010010100000	
xz	01111100100111010011	
ya	101110110	
yb	001110000001	
yc	01001100001	
yd	1010101111	
ye	001000100	
yf	10011101010	
yg	10111010111	
yh	0011000000	
yi	0000010000	
yj	011100001110111	
yk	0010111001000	
yl	1011111110	
ym	01111100111	
yn	0000110110	
yo	110110111	
yp	11001100101	
yq	0010111001010110	
yr	0011011110	
ys	0010001100	
yt	100110001	
yu	01001100011	
yv	110001111101	
yw	10001001000	
yx	011111001001111	
yy	11000101100	
yz	1000100101001001	
za	01110000111001	
zb	1111111110101001	
zc	0000010010110111	
zd	011011101001000	
ze	1101011101010	
zf	0101010111100011	
zg	0111110010010011	
zh	11101101100000	
zi	10101111010101	
zj	00111000001100001110	
zk	10100010100000111	
zl	011111001001100	
zm	0011100000110111	
zn	10111000101011	
zo	10100010100001	
zp	1000100111110111	
zq	01111100100111010101	
zr	11111111101000	
zs	11000111111101	
zt	01010101111001	
zu	0010000111000001	
zv	10001001111101101	
zw	0100000010011101	
zx	01111100100111010010	
zy	1000100101001000	
zz	11111111101010001111	
